The Grandfather;Two-Hand Damage: 250-290 Required Strength: 189 +3 to all skills 20% Chance to cast level 18 Tornado on striking;1500
Shadow Dancer;Defense: 184 Required Strength: 167 Required Level: 71 +2 to Shadow Disciplines +30% Faster Run/Walk;1250
Blackoak Shield;Defense: 275 Chance to Block: 39% Required Strength: 220 Required Level: 42 +1 to all skills +5% to maximum Cold Resist;900
The Redeemer;One-Hand Damage: 190-230 Required Strength: 96 Required Level: 67 +3 to Combat Skills +1 to Light Radius;1800
Doombringer;One-Hand Damage: 125-188 Required Strength: 125 Required Level: 45 Indestructible +35% Increased Attack Speed;1400
Arkaine's Valor;Defense: 1508 Required Strength: 165 Required Level: 85 +1 to all skills +30% Faster Hit Recovery;3000
The Oculus;Damage: 18-42 Required Level: 42 +3 to Sorceress Skills +20% Faster Cast Rate;1100
Azurewrath;One-Hand Damage: 110-130 Required Strength: 25 Required Level: 85 +2 to Paladin Skills +10% Increased Attack Speed;2500
Atma's Scarab;Required Level: 60 +3 to Trap Skills +20 to Strength;800
The Reaper's Toll;Two-Hand Damage: 41-482 Required Strength: 114 Required Level: 75 Ignore Target's Defense +10 to Strength;2800
The Gavel of Pain;One-Hand Damage: 90-168 Required Strength: 70 Required Level: 48 +200% Enhanced Damage +50 to Life;750
Crown of Ages;Defense: 350 Required Strength: 174 Required Level: 82 +1 to all skills +30% Faster Hit Recovery;4000
Lycander's Flank;Two-Hand Damage: 100-242 Required Strength: 167 Required Level: 55 +20 to Strength +20 to Dexterity;900
The Gladiator's Bane;Defense: 1256 Required Strength: 111 Required Level: 85 Cannot be Frozen +30% Faster Hit Recovery;2000
Arreat's Face;Defense: 302 Required Strength: 118 Required Level: 42 +2 to Barbarian Skills +20% Open Wounds +3 to Battle Cry;1000
Thunderstroke;Throw Damage: 99-180 Required Strength: 122 Required Level: 69 +3 to Javelin and Spear Skills +20% Increased Attack Speed;1500
Raven Frost;Required Level: 45 +150 to Attack Rating +15 to Dexterity +40 to Mana Cold Absorb 20%;500
The Grand Vizier;Damage: 23-50 Required Level: 75 +2 to Necromancer Skills +40% Faster Cast Rate;2000
Griswold's Redemption;Two-Hand Damage: 125-158 Required Strength: 97 Required Level: 76;2300
Death's Web;Damage: 22-28 Required Level: 66 -50% Target's Defense +2 to all skills +1-123 to Poison Damage;2500
The Grandfather;One-Hand Damage: 87-222, Two-Hand Damage: 236-525 Required Strength: 189 Required Level: 81 +3 to all skills 20% Chance to cast level 18 Tornado on striking;3000
Bonehew;Two-Hand Damage: 102-466 Required Strength: 225 Required Level: 64 +200% Enhanced Damage +60 to Attack Rating Prevent Monster Heal;1800
Death Cleaver;One-Hand Damage: 38-122 Required Strength: 138 Required Level: 70 Indestructible +50% Increased Attack Speed +200% Enhanced Damage;2200
The Cranium Basher;Two-Hand Damage: 119-675 Required Strength: 253 Required Level: 87 +30% Increased Attack Speed +200% Enhanced Damage;4500
Demon Limb;One-Hand Damage: 89-160 Required Strength: 133 Required Level: 63 +2 to all skills +175% Enhanced Damage Adds 222-333 Fire Damage;800
Stormlash;One-Hand Damage: 5-180, Two-Hand Damage: 100-220 Required Strength: 125 Required Level: 82 +3 to Lightning Skills +33% Chance to Cast Level 22 Chain Lightning on Attack;2800
Harlequin Crest;Defense: 141 Required Level: 62 +2 to all skills +20 to Strength +2 to all attributes +50 to Life +2 to Mana per Kill;1500
Wisp Projector;Required Level: 76 +10% Faster Run/Walk Lightning Absorb 14-20% 15-20% Better Chance of Getting Magic Items Level 9 Heart of Wolverine (17 Charges) Level 11 Oak Sage (13 Charges);3500
Cerebus' Bite;Defense: 326 Required Strength: 86 Required Level: 63 +120% Enhanced Defense +30% Faster Hit Recovery +20 to Strength +15 to Dexterity +20 to Energy +15% to Maximum Cold Resist +15% to Maximum Fire Resist;1200
Griswold's Valor;Defense: 380-450 Required Level: 68 +100-150% Enhanced Defense +20 to Strength +20 to Dexterity All Resistances +30-40 Magic Damage Reduced by 7-12;2000
The Redeemer;One-Hand Damage: 80-160 Required Strength: 125 Required Level: 70 +2 to Paladin Skills +200% Enhanced Damage +50% Damage to Undead Redeem's Aura (Lvl 1);2400
